name,latitude,longitude,country,population,id
Ylöjärvi,61.55632,23.59606,FI,22140,630752
Vuosaari,60.20963,25.14195,FI,35826,631077
Vihti,60.41699,24.31965,FI,26280,631707
Varkaus,62.31533,27.873,FI,22365,632370
Vantaa,60.29414,25.04099,FI,190058,632453
Valkeakoski,61.26421,24.03122,FI,20376,632672
Vaasa,63.096,21.61577,FI,67631,632978
Uusikaupunki,60.80043,21.40841,FI,16226,633221
Tuusula,60.40368,25.02638,FI,34725,633591
Turku,60.45148,22.26869,FI,195301,633679
Tornio,65.84811,24.14662,FI,21236,634093
Tampere,61.49911,23.78712,FI,244315,634963
Siilinjärvi,63.08333,27.66667,FI,20209,636947
Sibbo,60.37752,25.26906,FI,19430,637067
Seinäjoki,62.79446,22.82822,FI,64743,637219
Savonlinna,61.8699,28.87999,FI,27353,637292
Salo,60.38333,23.13333,FI,24900,637948
Rovaniemi,66.5,25.71667,FI,64194,638936
Riihimäki,60.73769,24.77726,FI,26451,639406
Rauma,61.12724,21.51127,FI,36550,639734
Raisio,60.48592,22.16895,FI,23597,640124
Raahe,64.68333,24.48333,FI,22217,640276
Pori,61.48333,21.78333,FI,83491,640999
Pirkkala,61.46125,23.63228,FI,15615,641489
Oulu,65.01236,25.46816,FI,209648,643492
Nurmijärvi,60.46407,24.8073,FI,44136,644171
Nokia,61.46667,23.5,FI,28676,644450
Munkkiniemi,60.19861,24.87772,FI,17334,645691
Mikkeli,61.68857,27.27227,FI,52121,646005
Mellunkylä,60.23355,25.09947,FI,36360,646218
Mäntsälä,60.63333,25.31667,FI,18074,646723
Lovisa,60.45659,26.22505,FI,15466,647571
Loimaa,60.84972,23.0561,FI,15834,647731
Lohja,60.24859,24.06534,FI,35960,647751
Lieto,60.51032,22.46176,FI,15258,648056
Lempäälä,61.31667,23.75,FI,18096,648366
Lauttasaari,60.15896,24.86797,FI,20000,648635
Laukaa,62.41407,25.95194,FI,17093,648738
Lappeenranta,61.05871,28.18871,FI,72646,648900
Lahti,60.98267,25.66151,FI,120093,649360
Kirkkonummi,60.12381,24.43853,FI,32920,649630
Kuusamo,65.96447,29.18878,FI,17400,649924
Kuopio,62.89238,27.67703,FI,121557,650224
Kouvola,60.86667,26.7,FI,80483,650859
Kotka,60.4664,26.94582,FI,54616,650946
Korsholm,63.11418,21.68216,FI,17176,651299
Kokkola,63.83847,23.13066,FI,47915,651943
Klaukkala,60.38244,24.751,FI,21019,652305
Kerava,60.40338,25.105,FI,31347,653185
Kemi,65.73641,24.56371,FI,22641,653281
Karhula,60.52156,26.93125,FI,22867,654137
Kangasala,61.46383,24.07602,FI,24291,654440
Kallio,60.18427,24.95034,FI,27051,654706
Kajaani,64.22728,27.72846,FI,36498,654899
Kaarina,60.40724,22.36904,FI,21684,655130
Kaarela,60.25174,24.88111,FI,26414,655143
Jyväskylä,62.24147,25.72088,FI,144477,655194
Joensuu,62.60118,29.76316,FI,77266,655808
Järvenpää,60.47369,25.08992,FI,38148,655958
Janakkala,60.9,24.6,FI,15698,656073
Jämsä,61.8642,25.19002,FI,15261,656083
Jakobstad,63.67486,22.70256,FI,19238,656130
Imatra,61.17185,28.75242,FI,29615,656688
Iisalmi,63.55915,27.19067,FI,22588,656820
Hyvinge,60.63333,24.86667,FI,43515,656913
Hollola,61.05,25.43333,FI,20405,657530
Helsinki,60.16952,24.93545,FI,658864,658225
Heinola,61.20564,26.03811,FI,20849,658288
Haukipudas,65.17654,25.35233,FI,17298,658629
Hamina,60.56974,27.19794,FI,21712,659169
Hämeenlinna,60.99596,24.46434,FI,67994,659180
Forssa,60.81462,23.62146,FI,17852,659935
Espoo,60.2052,24.6522,FI,256760,660158
Porvoo,60.39233,25.66507,FI,51135,660561
Anjala,60.68333,26.83333,FI,16779,661164
Väståboland,60.29972,22.3004,FI,15498,7911309
